ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,1,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,1,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,3,0,0,1
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Electoral Gain,5,0,1,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Love Intrigue,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Professional ,0,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Sudden Quarrel,5,0,0,0
A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Other Causes,68,5,6,6
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,1,0,0,1
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,14,1,1,2
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,1,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,1,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,3,0,0,1
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Custodial Rape,1,0,0,0
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Attempt to Commit,7,2,0,1
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By a Gang,17,0,0,1
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Parents,0,0,0,0
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Hospital Staff,2,0,0,0
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Husband During Sepearation,6,0,1,1
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Neighbours,38,3,2,3
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Relatives,49,3,2,4
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Jail Custody,0,0,0,0
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Remand Home,0,0,0,0
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",InCest,1,1,0,0
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Known Person,297,18,26,22
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Unknown Person,12,2,1,1
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Due to Other Causes,102,10,12,10
A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,485,35,68,62
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,1711,103,156,199
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,6,1,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,5,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,1,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,52,5,6,1
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,1,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,1,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,23,1,1,4
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),2,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,6,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,4,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,14,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,1,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,17,1,1,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,554,38,55,56
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,42,3,7,2
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,32,2,5,0
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,0,0,0,0
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,13,2,0,2
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,36,1,4,2
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,51,6,0,2
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,1,0,0,0
A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0,0,0,0
A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,131,8,15,12
A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,121,3,6,20
A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,23,1,3,1
A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,2,0,0,0
A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,62,9,8,2
A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,601,46,51,63
A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,656,62,52,54
A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,50,6,3,2
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,2152,190,218,199
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,4,0,0,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,1,0,0,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,73,5,4,6
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,697,57,65,74
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,639,39,58,64
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,388,26,21,51
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,694,52,67,66
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,3,1,0,2
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,37,1,5,2
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,46,7,8,5
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,18,2,2,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of sand,1061,70,66,75
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,39,2,3,4
A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,10,0,1,2
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,173,10,21,16
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,412,28,36,34
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,93,4,13,5
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,166,17,23,12
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,4,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,301,28,23,29
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,9119,682,805,910
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,152,10,11,17
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,234,22,15,22
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,4,0,1,1
A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",1252,67,134,161
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,11,0,2,1
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,1,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,7,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,0,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,209,9,22,29
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,429,39,32,41
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,715,69,90,81
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1420,104,175,184
A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,45,1,4,3
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,135,16,9,13
A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,909,95,86,84
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,288,15,24,25
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,1127,50,57,92
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,1,0,1,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,3,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,3,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,1,0,0,1
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,48,23,2,1
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,5,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,8,0,0,2
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,1,0,1,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,23,3,1,3
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,7,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,5,1,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,4,0,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,14,1,0,0
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,2640,211,196,202
A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA ,0,0,0,0
A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA ,76,0,5,7
A - IPC Crime,CRIMINAL BREACH OF TRUST,NA,477,39,91,37
A - IPC Crime,CHEATING (Sec.417 to 420 IPC),NA,5415,547,452,614
A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0
A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0
A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0
A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),33,4,3,4
A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,2,0,0,0
A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,332,27,30,35
A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),2,0,1,0
A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,2,0,0,0
A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,118,13,7,12
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),3,0,1,0
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),2,0,0,0
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,971,73,72,76
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,12219,980,962,1106
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,1,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attempt to Commit,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Alcoholic Drink (Liquor),2,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cement & Chemical/Fertiliser,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cosmetics,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Diesel,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Drug/Medicine,1,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Edible Oil,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Food Grain,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Kerosene,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Life Saving Drug,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Mobile Oil,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petrol,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petroleum Product,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,0,0,0,0
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,11,0,2,1
A - IPC Crime,AFFRAY (Sec. 160 IPC ),NA,351,34,31,41
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Agricultural Produce,47,4,1,8
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Attemp to Commit,4,1,0,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Boat / Ship,1,0,0,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Dwelling House,26,1,1,4
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Educational Institution,0,0,0,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Govt. Property,7,0,1,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Industrial Establishment,2,2,1,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Place of worship,1,0,0,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Public Place,16,4,0,1
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Railway Property,0,0,0,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Vital Installation,0,0,0,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Warehouse (Godown),2,0,0,0
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Others,119,12,8,11
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Attempt To Commit,3,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Contractor,0,0,0,0
