Sl. No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
231,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Life Saving Drug,0,0,0,0
232,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Mobile Oil,0,0,0,0
233,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petrol,0,0,0,0
234,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petroleum Product,0,0,0,0
235,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,1,0,0,0
236,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,0,0,0,0
237,A- IPC CRIME,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,18,1,2,0
238,A- IPC CRIME,AFFRAY (Sec. 160 IPC ),NA,452,41,29,30
239,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Agricultural Produce,48,8,0,2
240,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Attemp to Commit,2,0,0,0
241,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Boat / Ship,1,0,0,0
242,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Dwelling House,13,3,2,1
243,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Educational Institution,1,0,0,0
244,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Govt. Property,8,0,2,0
245,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Industrial Establishment,1,0,0,1
246,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Place of worship,0,0,0,0
247,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Public Place,23,1,1,7
248,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Railway Property,0,0,0,0
249,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Vital Installation,0,0,0,0
250,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Warehouse (Godown),2,0,0,0
251,A- IPC CRIME,"ARSON (Sec. 435, 436, 438 IPC )",Others,151,11,8,18
252,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",Attempt To Commit,5,0,1,0
253,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Contractor,0,0,0,0
254,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Domestic Servant,0,0,0,0
255,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Labourer,0,0,0,0
256,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Man (General),11,1,0,3
257,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Man (SC),0,0,0,0
258,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Man (ST),1,0,1,0
259,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Manager/Executive (Other Than Public Servant),1,0,0,0
260,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",1,0,0,0
261,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",Member of Legislative Assembly / Council (MLA/MLC),0,0,0,0
262,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Member of Parliament (MP),0,0,0,0
263,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On other Dignitaries /Public Figures,2,0,1,1
264,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Press,0,0,0,0
265,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Professional ,0,0,0,0
266,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Public Servant,2,0,0,0
267,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Student,1,0,0,0
268,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Teacher,0,0,0,0
269,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Women (General),5,0,1,1
270,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Woman (SC),0,0,0,0
271,A- IPC CRIME,"ASSAULT (Sec 356, 357 IPC)",On Woman (ST),0,0,0,0
272,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Attempt to Commit,5,1,0,0
273,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Caste Issue,8,1,0,0
274,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Communal Issue,48,6,2,2
275,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Linguistic Issue,0,1,0,0
276,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Political Issue,2,0,0,0
277,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Racial/Ethnic Issue,0,0,0,0
278,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Regional Issue,17,0,1,2
279,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Religious Issue,67,7,6,5
280,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Sectarian Issue,0,0,0,0
281,A- IPC CRIME,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Others,73,11,4,7
282,A- IPC CRIME,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Conspiracy To Wage War,6,0,0,0
283,A- IPC CRIME,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Related to Substantive Offence,7,1,1,2
284,A- IPC CRIME,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Others,34,4,2,2
285,A- IPC CRIME,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC),NA,2098,176,172,177
286,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Attempt to Commit,0,0,0,0
287,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Bank,2,0,0,0
288,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Business Establishment,1,0,0,0
289,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Charitable Organisation,1,0,0,0
290,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Chitfund Organisation,0,0,0,0
291,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Co-operative Organisation,2,0,0,0
292,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Commercial Establishment/Shop,0,0,0,0
293,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Customs Department,0,0,0,0
294,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Excise Department,0,0,0,0
295,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Financial Institution,6,0,0,0
296,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Income Tax Department,0,0,0,0
297,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Other Government Organisation,2,0,0,1
298,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Postal Department,0,0,0,0
299,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Public Sector Undertakings,0,0,0,0
300,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Railway Department,0,0,0,0
301,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Revenue Department,0,0,0,0
302,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Sales Tax Department,0,0,0,0
303,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Social Organisation (Aided) (N),0,0,0,0
304,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Transport Authority,0,0,0,0
305,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Other than religious,1,0,0,0
306,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Religious,0,0,0,0
307,A- IPC CRIME,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Others,11,0,0,2
308,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Attempt to Commit,8,2,1,0
309,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Club,2,0,1,0
310,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hostel,2,0,0,0
311,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hotel,11,1,4,1
312,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),House,533,51,47,52
313,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Land,1071,98,92,120
314,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Office,41,2,4,2
315,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Prohibited Places,22,1,3,0
316,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Religious Place,10,2,1,0
317,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Restricted Area,14,2,1,1
318,A- IPC CRIME,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Others,188,14,13,15
319,A- IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband ,980,70,77,79
320,A- IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband And Relative(S) in Law,1399,108,121,120
321,A- IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Relative(S) in Law,27,4,4,1
322,A- IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Dowry Harassment,436,35,45,37
323,A- IPC CRIME,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Prevention of Gaming,0,0,0,0
324,A- IPC CRIME,DOWRY DEATHS (Sec.304(B) IPC),By Husband  ,13,0,1,0
325,A- IPC CRIME,DOWRY DEATHS (Sec.304(B) IPC),By Husband And Relatives In Law,72,3,11,10
326,A- IPC CRIME,DOWRY DEATHS (Sec.304(B) IPC),By Relatives in Law,0,0,0,0
327,A- IPC CRIME,DOWRY DEATHS (Sec.304(B) IPC),By Burning,0,0,0,0
328,A- IPC CRIME,DOWRY DEATHS (Sec.304(B) IPC),By Hanging,70,5,8,6
329,A- IPC CRIME,DOWRY DEATHS (Sec.304(B) IPC),By Other Means,10,2,0,1
330,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution,17,0,2,2
331,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Adulterated Food/Drug,0,0,0,0
332,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Accident by Air,0,0,0,0
333,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Boad Accident,1,0,0,0
334,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Bridge/Dam Collapse,0,0,0,0
335,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Building Collapse,10,0,1,1
336,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Caused By Animal,1,0,0,0
337,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Death Due to Other Cause,82,9,6,1
338,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution Accident,62,1,1,7
339,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Explosion Accident,2,0,0,0
340,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Fire accident,4,0,0,0
341,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Gas Leakage Accident,1,0,0,0
342,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Infrastucture In Construction,62,7,6,7
343,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Medical Treatment,3,0,0,1
344,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Custody of Public Servant,0,0,0,0
345,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Jail/Judicial Custody,0,0,0,0
346,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Police Custody,0,0,0,0
347,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Industrial Accident (Factory),7,0,1,2
348,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Inflammable Substance,0,0,0,0
349,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Mine Accident,0,0,0,0
350,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Poisonous Substance,0,0,0,0
351,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Quarry Accident,0,1,0,0
352,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Spurious Liquor (Hooch) Accident,0,0,0,0
353,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Railway Accident,0,1,0,0
354,A- IPC CRIME,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Others,72,9,7,7
355,A- IPC CRIME,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),National Highways,3738,318,298,324
356,A- IPC CRIME,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),State Highways,3042,250,230,256
357,A- IPC CRIME,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Roads,3850,350,329,338
358,A- IPC CRIME,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Places,199,15,15,21
359,A- IPC CRIME,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",National Highways,9515,837,810,873
360,A- IPC CRIME,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",State Highways,6813,583,587,615
361,A- IPC CRIME,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",Other Roads,12283,1071,1084,1188
362,A- IPC CRIME,"MOTOR VEHICLE ACCIDENTS NON-FATAL (Sec.279, 337, 338 IPC)",Other Places,433,36,35,34
363,A- IPC CRIME,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Child,11,0,1,0
364,A- IPC CRIME,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Woman,2,0,0,0
365,A- IPC CRIME,"DEATHS-MISCARRIAGE (Sec.312, 313, 314 IPC)",Women and Child,0,0,0,0
366,A- IPC CRIME,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Air Force,0,0,0,0
367,A- IPC CRIME,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Army,1,0,0,0
368,A- IPC CRIME,"DEFENCE FORCES OFFENCES RELATING (also relating to desertion) (Sec.131 to 140, except 136 IPC)",Navy,0,0,0,0
369,A- IPC CRIME,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",From Jail Custody,10,0,1,0
370,A- IPC CRIME,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",From Police Custody,20,1,2,1
371,A- IPC CRIME,"ESCAPE FROM LAWFUL CUSTODY AND RESISTANCE (Sec.224, 225, 225(B) IPC)",Others,5,0,1,0
372,A- IPC CRIME,"IMPERSONATION (Sec.170, 171 IPC)",Attempt to Commit,5,0,0,1
373,A- IPC CRIME,"IMPERSONATION (Sec.170, 171 IPC)",Non-Uniformed Authority,4,1,0,0
374,A- IPC CRIME,"IMPERSONATION (Sec.170, 171 IPC)",Uniformed Authority,0,0,0,0
375,A- IPC CRIME,"MISCHIEF (Sec.427 to 440 except 434, 435, 436, 438 IPC)",NA,418,35,24,39
376,A- IPC CRIME,MOLESTATION (Sec.354 IPC),Attempt to Commit,119,9,8,9
377,A- IPC CRIME,MOLESTATION (Sec.354 IPC),Private Place,973,85,79,99
378,A- IPC CRIME,MOLESTATION (Sec.354 IPC),Public Conveyance,9,1,1,1
379,A- IPC CRIME,MOLESTATION (Sec.354 IPC),Public Place,1877,166,153,152
380,A- IPC CRIME,MOLESTATION (Sec.354 IPC),Other Places,2829,221,249,227
381,A- IPC CRIME,POISONING-PROFESSIONAL (Sec. 328 IPC),Attempt to Commit,12,0,2,1
382,A- IPC CRIME,POISONING-PROFESSIONAL (Sec. 328 IPC),Fatal,1,0,0,0
383,A- IPC CRIME,POISONING-PROFESSIONAL (Sec. 328 IPC),Non Fatal,5,1,0,0
384,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Advertisement,0,0,0,0
385,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Audio Tape,0,0,0,0
386,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Book,0,0,0,0
387,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Computer Software,0,0,0,0
388,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Figures,2,0,0,2
389,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Film (Blue),0,0,0,0
390,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Painting,0,0,0,0
391,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Pamphlet,0,0,0,0
392,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Paper,1,0,0,0
393,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Photography,0,0,0,0
394,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Poster,0,0,0,0
395,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Video Film(Blue),0,0,0,0
396,A- IPC CRIME,PORNOGRAPHY (Sec.292 to 294 IPC),Others,3,0,1,0
397,A- IPC CRIME,PUBLIC JUSTICE (Sec.213 to 215 IPC),NA,7,0,0,1
398,A- IPC CRIME,PUBLIC NUISANCE (Sec.291 and 510 IPC),NA,130,3,16,10
399,A- IPC CRIME,"PUBLIC SAFETY (Sec.269 to 271, 277, 283, 289 IPC)",NA,4177,103,612,886
400,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Attempt to Commit,13,1,1,0
401,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Defence Personnel,0,0,0,0
402,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Jail Personnel,4,0,0,1
403,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Judicial Official,12,0,1,1
404,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Minister,0,0,0,0
405,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",MLA,2,0,1,0
406,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",MP,0,0,0,0
407,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Nationalised Bank Personnel,2,0,1,0
408,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Elected Member,3,1,0,0
409,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Enforcement Official,3,0,0,0
410,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Other Govt. Official,435,39,38,40
411,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Para Military Personnel,1,0,0,0
412,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Police Personnel,405,27,27,28
413,A- IPC CRIME,"OFFENCES AGAINST PUBLIC SERVANTS (Public servant is a victim) (Sec 182-188, 332, 333, 353 IPC)",Public Sector Undertaking Official,111,8,8,17
414,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Defence Personnel,0,0,0,0
415,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Jail Personnel,0,0,0,0
416,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Judicial Official,0,0,0,0
417,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Minister,0,0,0,0
418,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MLA,0,0,0,0
419,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",MP,0,0,0,0
420,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Nationalised Bank Personnel,0,0,0,0
421,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Elected Member,0,0,0,0
422,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Enforcement Official,0,0,0,0
423,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Other Govt. Official,6,1,0,0
424,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Para Military Personnel,0,0,0,0
425,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Police Personnel,2,0,0,0
426,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Public Sector Undertaking Official,0,1,0,0
427,A- IPC CRIME,"OFFENCES BY PUBLIC SERVANTS (EXCEPT CORRUPTION) (Public servant is accused) (Sec.128, 139, 167, 218, 221, 222 IPC)",Others,5,0,0,0
428,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Death Causeed By Electric Shock,93,4,12,6
429,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Animal -Related,27,0,3,1
430,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Boat/Vessel - Related,3,0,0,0
431,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Explosive/Explosive Substances - Related,23,0,1,3
432,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Inflammable Substance- Related ,11,2,1,1
433,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Machinery - Related,128,14,8,15
434,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Poisonous Substance - Related,8,1,1,0
435,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Other - Related,866,32,41,51
436,A- IPC CRIME,"NEGLIGENT ACT (Sec.280 to 289, 336 to 338 except 283 IPC)",Human - Related,291,21,19,8
437,A- IPC CRIME,RECEIVING OF STOLEN PROPERTY (Sec.411 to 414 IPC),NA,1,0,0,0
438,A- IPC CRIME,Attempt to Commit,Attempt to Commit,0,0,0,0
439,A- IPC CRIME,By Foreigner,By Foreigner,0,0,0,0
440,A- IPC CRIME,By National,By National,0,0,0,0
441,A- IPC CRIME,By National And Foreigner,By National And Foreigner,0,0,0,0
442,A- IPC CRIME,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Attempt to Commit,2,0,1,0
443,A- IPC CRIME,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Office,5,2,0,0
444,A- IPC CRIME,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Public Conveyance,0,0,0,0
445,A- IPC CRIME,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Public Place,34,3,1,5
446,A- IPC CRIME,INSULTING MODESTY OF WOMEN (EVE TEASING) (Sec.509 IPC),Other Places,32,1,2,4
447,A- IPC CRIME,"SUICIDE (Sec.305, 306, 309 IPC)",Dowry,15,0,0,1
448,A- IPC CRIME,"SUICIDE (Sec.305, 306, 309 IPC)",Abetment of Suicide,332,23,31,26
449,A- IPC CRIME,"SUICIDE (Sec.305, 306, 309 IPC)",Other Reasons,315,21,29,24
450,A- IPC CRIME,"SUICIDE (Sec.305, 306, 309 IPC)",Attempt to Commit suicide,110,7,5,11
451,A- IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Abetment  ,0,0,0,0
452,A- IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Animal  ,4,0,1,0
453,A- IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Attempt,0,0,0,0
454,A- IPC CRIME,UNNATURAL SEX (Sec.377 IPC),Major - Man,2,0,0,0
