Sl. No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
659,,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,46,4,8,11
660,,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0
661,,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,5,2,1,2
662,,Murder for other reasons,NA,167,45,33,29
663,,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,0,0,0,0
664,,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,22,5,2,7
665,,Attempt to Commit murder for other reasons,NA,313,87,51,61
666,,"Dowry Death-by burning
(Sec.304-B IPC)",NA,1,0,0,0
667,,Dowry Death-by other Means (Sec.304(B) IPC),NA,56,14,11,13
668,,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,1082,257,232,201
669,,Abetment of Suicide (Sec.306 IPC),NA,60,9,13,8
670,,Immoral Traffic (prevention) Act.,NA,91,24,19,22
671,,Indecent Representation of Women(Prohibition) Act-1986,NA,0,0,0,0
672,,Pornography,NA,2,0,0,0
673,,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,45,7,13,7
674,,Offences related to Marriage,NA,15,2,1,3
675,,Cyber Crimes,NA,2749,308,637,584
676,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,20,2,2,5
677,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
678,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,27,5,3,2
679,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,1353,251,255,361
680,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,3,0,1,1
681,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,,0
682,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,1,0,0,1
683,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
684,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,1,0,0,0
685,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0
686,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,1,0
687,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,5,1,0,2
688,D.CRIME AGAINST CHILDREN,Sub Total ,NA,1363,252,257,365
689,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
690,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,55,20,7,12
691,D.CRIME AGAINST CHILDREN,POCSO Act,NA,1295,266,283,249
692,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,3,2,0,1
693,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,36,3,20,12
694,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,50,6,25,20
695,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,1,0,0,0
696,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,34,10,9,9
697,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,78,28,16,17
698,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,25,11,1,4
699,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,74,2,1,0
700,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,544,124,118,115
