Sl. No.,CRIME HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0,0,0,0
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0,0,0,0
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0,0,0,0
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,0,0,0,0
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0,0,0,0
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,0,0,0,0
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,0,0,0,0
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Electoral Gain,1,1,0,1
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Gang Rivalry,0,0,0,0
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Love Intrigue,0,0,0,0
65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Professional ,0,0,0,0
66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Sudden Quarrel,3,1,0,1
67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Other Causes,50,8,12,5
68,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,0,0,0,
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,1,0,0,0
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0,0,0,0
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0,0,0,0
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0,0,0,0
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,0,0,0
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,3,0,0,0
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,22,2,3,2
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0,1,0,0
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,2,0,0,1
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,1,0,1,0
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,0,0,0,0
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,6,0,2,2
87,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Custodial Rape,0,0,0,0
88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Attempt to Commit,9,0,0,1
89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By a Gang,7,5,1,0
90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Parents,0,0,0,0
91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Hospital Staff,2,0,0,2
92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Husband During Sepearation,8,0,1,1
93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Neighbours,26,2,6,0
94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Relatives,31,5,2,5
95,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Jail Custody,0,0,0,0
96,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Remand Home,0,0,0,0
97,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",InCest,0,0,0,0
98,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Known Person,263,24,35,30
99,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Unknown Person,6,0,0,0
100,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Due to Other Causes,86,11,6,12
101,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0,0,0,0
102,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,645,79,87,82
103,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,1643,138,217,236
104,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,5,2,0,1
105,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0,0,0,0
106,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,4,3,0,1
107,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,1,0,0,0
108,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,45,2,8,10
109,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,0,0,0,0
110,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,0,0,0,0
111,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,7,1,0,1
112,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0,0,0,0
113,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,0,0,0,0
114,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),0,1,0,0
115,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0,0,0,0
116,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,1,1,1,0
117,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,10,1,0,2
118,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,1,0,0,1
119,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,6,0,2,1
120,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0,0,0,0
121,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,1,1,0,0
122,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0
123,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,15,1,2,1
124,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0
125,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0
126,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,422,39,60,53
127,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0
128,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,19,5,1,5
129,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,27,5,6,2
130,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,1,0,0,0
131,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0
132,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,5,0,0,0
133,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,34,2,5,4
134,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,47,2,5,9
135,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,0,0,0,0
136,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),Preparation And Assembly for Dacoity,105,28,13,16
137,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0,0,0,0
138,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,149,18,24,19
139,A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,75,6,9,11
140,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,4,1,2,1
141,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,2,1,1,0
142,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,80,9,19,14
143,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,577,62,95,66
144,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,453,59,43,54
145,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,46,5,5,5
146,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,2013,200,252,217
147,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,2,1,1,0
148,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,39,6,7,3
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,668,76,113,85
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,530,65,87,65
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,297,28,44,39
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,784,68,113,88
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,1,0,0,0
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,1,0,0,1
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,31,2,2,3
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,56,7,16,7
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,25,2,5,2
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of sand,45,3,6,7
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,970,55,142,102
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,7,1,2,1
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,122,17,14,9
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,199,20,34,26
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,311,33,65,41
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,106,6,20,21
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,115,10,17,12
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,7,2,0,1
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,219,22,34,29
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,9202,861,1392,1075
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,224,31,47,28
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,195,29,28,34
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,1401,167,244,185
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",0,0,0,0
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,6,0,0,1
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,2,0,1,0
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,4,1,1,0
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,2,0,1,0
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,200,13,41,22
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,505,33,82,53
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,1038,48,142,124
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,1477,131,265,193
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,47,5,2,8
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,171,18,20,23
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,1593,107,216,213
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,322,34,52,40
187,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,844,81,87,85
188,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,1,1,0,0
189,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,2,2,0,0
190,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,2,2,0,0
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,2,0,0,0
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,68,3,3,1
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,3,1,0,0
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,5,0,0,3
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,1,0,0,0
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,12,1,1,0
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,4,0,0,0
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,4,0,1,0
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,5,0,1,0
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,2,1,0,0
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,1981,194,240,243
203,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA,0,0,0,0
204,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA,67,4,18,12
205,A - IPC Crime,CRIMINAL BREACH OF TRUST,NA,368,28,37,51
206,A - IPC Crime,CHEATING (Sec.417 to 420 IPC),NA,5074,544,744,625
207,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0
208,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0
209,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0
210,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0
211,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),19,4,1,1
212,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,0,0,0,0
213,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,260,33,36,27
214,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),1,0,0,0
215,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,0,0,0,0
216,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,133,11,18,16
217,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),2,0,0,0
218,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),1,0,0,1
219,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,1044,103,109,112
220,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,12039,1114,1502,1460
221,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,1,0,0,0
222,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attempt to Commit,0,0,0,0
223,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Alcoholic Drink (Liquor),1,1,0,0
224,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cement & Chemical/Fertiliser,0,0,0,0
225,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cosmetics,0,0,0,0
226,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Diesel,0,0,0,0
227,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Drug/Medicine,1,0,1,0
228,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Edible Oil,2,0,1,1
229,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Food Grain,0,0,0,0
230,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Kerosene,0,0,0,0
231,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Life Saving Drug,0,0,0,0
232,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Mobile Oil,0,0,0,0
233,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petrol,0,0,0,0
234,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petroleum Product,0,0,0,0
235,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,0,0,0,0
236,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,0,0,0,0
237,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,14,1,4,1
238,A - IPC Crime,AFFRAY (Sec. 160 IPC ),NA,444,55,80,67
239,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Agricultural Produce,46,2,2,0
