SL.NO.,ACT,MAJOR HEADS,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
659,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,1,0,0,1
660,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,3,2,0,0
661,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,274,43,43,47
662,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,3104,363,528,565
663,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,99,11,19,19
664,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,35,6,4,5
665,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0
666,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,9,1,2,2
667,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,229,34,44,38
668,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,1,0,0,0
669,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,3,1,0,0
670,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,459,64,92,76
671,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0
672,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,76,15,13,18
673,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,1513,149,269,293
674,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,71,10,9,8
675,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,135,23,24,14
676,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,2,0,0,1
677,C. CRIMES AGAINST WOMEN,Pornography,NA,0,0,0,0
678,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,55,10,7,11
679,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,15,0,2,2
680,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,1674,189,307,322
681,D.CRIME AGAINST CHILDREN,Infanticide/ Foeticide (Sec. 315 & 316 IPC),NA,0,0,0,0
682,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0
683,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,37,5,5,8
684,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,1639,273,277,320
685,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,5,0,0,2
686,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0
687,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0
688,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0
689,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,0,0,0,0
690,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,1,0,0,1
691,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,1,0,0,0
692,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,9,2,2,3
693,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0
694,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,116,31,20,17
695,D.CRIME AGAINST CHILDREN,POCSO Act,NA,1492,211,241,241
696,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,7,3,2,0
697,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,35,5,3,9
698,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,47,2,6,8
699,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,2,1,0,0
700,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Murder,NA,52,13,16,9
701,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Rape,NA,119,26,21,18
702,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Kidnapping,NA,10,0,1,3
703,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the Protection of Civil Rights Act.,NA,1,0,0,0
704,"    E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs 
",Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,1021,77,134,167
