ACT,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),For Political Reasons,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Adultery,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Property Disputes,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Electoral Gain,3,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Love Intrigue,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Professional ,0,0,0,0
A - IPC Crime,ATTEMPT TO MURDER (Sec. 307 IPC),Sudden Quarrel,4,0,0,1
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,1,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,0,1,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,1,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,1,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),"RAPE (Sec.376, 376(A) to 376 (D) IPC)",53,7,10,10
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Custodial Rape,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Attempt to Commit,5,2,3,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By a Gang,8,0,2,1
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Parents,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Hospital Staff,2,0,0,1
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Husband During Sepearation,3,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Neighbours,19,2,1,2
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),By Relatives,33,2,2,2
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),In Jail Custody,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),In Remand Home,0,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),InCest,1,0,0,0
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Known Person,171,20,26,33
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Unknown Person,8,1,0,4
A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),On Minor,0,0,0,0
A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",NA,337,28,39,55
A - IPC Crime,Missing - Boy,NA,232,19,15,24
A - IPC Crime,Missing - Girl,NA,955,84,112,155
A - IPC Crime,For Ransom - of Children,NA,6,1,0,1
A - IPC Crime,For Ransom - of Cildren for Begging,NA,0,0,0,0
A - IPC Crime,For Ransom - of Women,NA,7,2,1,2
A - IPC Crime,For Ransom - of Girls for Immoral Purpose,NA,1,0,0,1
A - IPC Crime,For Ransom - of  Others,NA,27,3,2,2
A - IPC Crime,Procuration of Minor Girls - For Prostitution,NA,0,1,0,0
A - IPC Crime,Procuration of Minor Girls - Importring of Girl,NA,0,0,0,0
A - IPC Crime,Procuration of Minor Girls - For other Purpose,NA,12,3,2,0
A - IPC Crime,Espionage,NA,0,0,0,0
A - IPC Crime,Intent to Steal From Child,NA,0,0,0,0
A - IPC Crime,Murder (Homicide),NA,2,0,0,0
A - IPC Crime,Obtain Signature Forcibly,NA,0,0,0,0
A - IPC Crime,Recovering Loan,NA,3,0,0,1
A - IPC Crime,Settling any Disputes,NA,3,0,0,0
A - IPC Crime,Unnatural Lust / Illicit Intercourse,NA,0,0,0,0
A - IPC Crime,Wrongful Confinement,NA,11,0,0,1
A - IPC Crime,For Exporting,NA,0,0,0,0
A - IPC Crime,From Lawful Guardianship,NA,1,1,0,0
A - IPC Crime,For Camel Racing Etc.,NA,0,0,0,0
A - IPC Crime,To Compel For Marriage,NA,12,1,1,1
A - IPC Crime,For Slavery,NA,0,0,0,0
A - IPC Crime,For Stealing From its Person,NA,0,0,0,0
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,24,4,2,7
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,19,3,1,1
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,0,0,0,0
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,9,2,0,2
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,20,1,1,2
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,39,11,6,7
A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,1,0,0,1
A - IPC Crime,Preparation And Assembly for Dacoity,NA,250,8,49,53
A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0,0,0,0
A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,73,10,8,12
A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,63,7,12,8
A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,13,0,0,1
A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,2,0,0,0
A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,41,6,3,5
A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,362,35,27,64
A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,379,33,54,55
A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,24,4,3,7
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,1127,129,125,223
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,2,1,1,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,1,0,0,0
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,35,8,6,9
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,372,60,59,84
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,340,57,55,65
A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,182,34,12,35
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,367,30,36,70
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,1,0,0,0
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,18,1,2,3
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,21,4,3,1
A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,10,0,0,1
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Sand,736,78,114,83
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to Commit,25,2,3,5
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of ATM,4,1,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,82,7,14,11
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,226,53,34,49
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,38,3,6,10
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,99,5,11,18
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,2,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,168,21,12,32
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,4854,578,679,977
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,77,3,8,14
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,111,11,21,19
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,2,0,1,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",589,31,63,97
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,7,0,2,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,3,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,0,0,0,0
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,107,13,25,15
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,220,13,17,44
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,356,11,23,37
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,672,74,135,98
A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,17,4,3,2
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,75,7,14,15
A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,496,57,53,81
A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,144,17,15,20
A - IPC Crime,RIOTS (Sec.141 to 153 IPC),NA,1623,270,200,192
A - IPC Crime,Land Dispute,NA,680,165,130,114
A - IPC Crime,Employee - Govt.,NA,0,0,0,0
A - IPC Crime,Labour - Private Sector,NA,2,0,0,0
A - IPC Crime,Labour - Public Sector,NA,3,0,0,0
A - IPC Crime,Linguistic,NA,0,0,0,0
A - IPC Crime,Political ,NA,42,1,3,3
A - IPC Crime,Regional,NA,4,1,1,2
A - IPC Crime,Sectarian,NA,0,0,0,0
A - IPC Crime,Students,NA,3,0,0,0
A - IPC Crime,Tribal,NA,0,0,0,0
A - IPC Crime,Due to Village Disputes,NA,13,3,2,0
A - IPC Crime,Communal,NA,5,0,1,0
A - IPC Crime,Industrial,NA,5,0,0,0
A - IPC Crime,Caste,NA,4,1,0,1
A - IPC Crime,Agrarian,NA,12,5,3,2
A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA,0,0,0,0
A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA,40,4,2,4
A - IPC Crime,CRIMINAL BREACH OF TRUST,NA,222,36,23,33
A - IPC Crime,CHEATING (Sec.417 to 420 IPC),NA,2890,265,269,476
A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",NA,1,0,0,0
A - IPC Crime,"Stock Share, Debentrue Certificate",NA,0,0,0,0
A - IPC Crime,Usage of Counterfeit Stamp,NA,0,0,0,0
A - IPC Crime,Of Coins (Sec 231 to 254 IPC),NA,0,0,0,0
A - IPC Crime,Of Stamps (Sec.255 to 263(A) IPC),NA,0,0,0,0
A - IPC Crime,Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),NA,18,0,1,2
A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,176,13,15,27
A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),1,0,0,0
A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,1,0,0,0
A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,58,10,1,10
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),1,0,0,0
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),3,0,0,0
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,535,84,70,72
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,7146,1046,1027,996
A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,1,0,0,1
A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",NA,5,1,3,0
A - IPC Crime,Attempt to Commit,NA,0,0,0,0
A - IPC Crime,Alcoholic Drink (Liquor),NA,1,0,0,1
A - IPC Crime,Cement & Chemical/Fertiliser,NA,0,0,0,0
A - IPC Crime,Cosmetics,NA,0,0,0,0
A - IPC Crime,Diesel,NA,0,0,0,0
A - IPC Crime,Drug/Medicine,NA,1,0,0,0
A - IPC Crime,Edible Oil,NA,0,0,0,0
A - IPC Crime,Food Grain,NA,0,0,0,0
A - IPC Crime,Kerosene,NA,0,0,0,0
A - IPC Crime,Life Saving Drug,NA,0,0,0,0
A - IPC Crime,Mobile Oil,NA,0,0,0,0
A - IPC Crime,Petrol,NA,0,0,0,0
A - IPC Crime,Petroleum Product,NA,0,0,0,0
A - IPC Crime,Soft Drinks,NA,0,0,0,0
A - IPC Crime,Spices,NA,0,0,0,0
A - IPC Crime,AFFRAY (Sec. 160 IPC ),NA,156,28,22,28
A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",NA,77,10,4,8
A - IPC Crime,Agricultural Produce,NA,37,1,3,1
A - IPC Crime,Attemp to Commit,NA,1,1,0,0
A - IPC Crime,Boat / Ship,NA,1,0,0,0
A - IPC Crime,Dwelling House,NA,14,1,2,2
A - IPC Crime,Educational Institution,NA,1,0,0,0
A - IPC Crime,Govt. Property,NA,5,0,1,0
A - IPC Crime,Industrial Establishment,NA,1,0,0,0
A - IPC Crime,Place of worship,NA,1,0,0,1
A - IPC Crime,Public Place,NA,11,0,2,1
A - IPC Crime,Railway Property,NA,0,0,0,0
A - IPC Crime,Vital Installation,NA,0,0,0,0
A - IPC Crime,Warehouse (Godown),NA,1,0,0,1
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Attempt To Commit,1,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Contractor,0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Domestic Servant,0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Labourer,1,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (General),8,1,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (SC),0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (ST),0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Manager/Executive (Other Than Public Servant),0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Member of Legislative Assembly / Council (MLA/MLC),0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Member of Parliament (MP),0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On other Dignitaries /Public Figures,0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Press,0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Professional ,1,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Public Servant,0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Student,0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Teacher,0,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Women (General),1,0,0,1
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (SC),1,0,0,0
A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (ST),0,0,0,0
A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),NA,26,7,2,2
A - IPC Crime,Attempt to Commit,NA,0,0,0,0
A - IPC Crime,Caste Issue,NA,6,0,1,0
A - IPC Crime,Communal Issue,NA,9,1,1,1
A - IPC Crime,Linguistic Issue,NA,0,0,0,0
A - IPC Crime,Political Issue,NA,0,0,0,0
A - IPC Crime,Racial/Ethnic Issue,NA,2,0,0,0
A - IPC Crime,Regional Issue,NA,5,0,0,0
A - IPC Crime,Religious Issue,NA,35,0,4,2
A - IPC Crime,Sectarian Issue,NA,0,0,0,0
A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",NA,12,1,0,3
A - IPC Crime,Conspiracy To Wage War,NA,0,0,0,0
A - IPC Crime,Related to Substantive Offence,NA,3,1,0,0
A - IPC Crime,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC),NA,1018,151,123,163
A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",NA,4,1,0,0
A - IPC Crime,Attempt to Commit,NA,0,0,0,0
A - IPC Crime,Bank,NA,0,0,0,0
A - IPC Crime,Business Establishment,NA,0,0,0,0
A - IPC Crime,Charitable Organisation,NA,0,0,0,0
A - IPC Crime,Chitfund Organisation,NA,0,0,0,0
A - IPC Crime,Co-operative Organisation,NA,1,0,0,0
A - IPC Crime,Commercial Establishment/Shop,NA,0,0,0,0
A - IPC Crime,Customs Department,NA,0,0,0,0
A - IPC Crime,Excise Department,NA,0,0,0,0
A - IPC Crime,Financial Institution,NA,1,0,1,0
A - IPC Crime,Income Tax Department,NA,0,0,0,0
A - IPC Crime,Other Government Organisation,NA,0,0,0,0
A - IPC Crime,Postal Department,NA,0,0,0,0
A - IPC Crime,Public Sector Undertakings,NA,0,0,0,0
A - IPC Crime,Railway Department,NA,0,0,0,0
A - IPC Crime,Revenue Department,NA,0,0,0,0
A - IPC Crime,Sales Tax Department,NA,0,0,0,0
A - IPC Crime,Social Organisation (Aided) (N),NA,0,0,0,0
A - IPC Crime,Transport Authority,NA,0,0,0,0
