Sl. No.,CRIEM HEAD,MAJOR HEAD,MINOR HEAD,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
49,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Gain,0,0,0,0,,,,,,,
50,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Over Civil Dispute,0,0,0,0,,,,,,,
51,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,,
52,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Sexual jealousy,0,0,0,0,,,,,,,
53,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Dowry,0,0,0,0,,,,,,,
54,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Communalism,0,0,0,0,,,,,,,
55,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Casteism,0,0,0,0,,,,,,,
56,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Witch Craft (Sorcery),0,0,0,0,,,,,,,
57,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Human Sacrifice,0,0,0,0,,,,,,,
58,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,,
59,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),For Political Reasons,0,0,0,0,,,,,,,
60,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Adultery,0,0,0,0,,,,,,,
61,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Property Disputes,0,0,0,0,,,,,,,
62,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Electoral Gain,0,0,0,0,,,,,,,
63,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Gang Rivalry,0,0,0,0,,,,,,,
64,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Love Intrigue,0,0,0,0,,,,,,,
65,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Professional ,0,0,0,0,,,,,,,
66,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Sudden Quarrel,0,2,0,0,,,,,,,
67,A - IPC Crime,CULPABLE HOMICIDE NOT AMOUNTING TO MUDER (Sec.304 IPC),Due to Other Causes,5,6,6,5,,,,,,,
68,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Gain,0,0,0,0,,,,,,,
69,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Over Civil Dispute,0,0,0,0,,,,,,,
70,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Personal Vendetta or enemity,0,0,0,0,,,,,,,
71,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Sexual jealousy,0,0,0,0,,,,,,,
72,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Dowry,0,0,0,0,,,,,,,
73,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Communalism,0,0,0,0,,,,,,,
74,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Casteism,0,0,0,0,,,,,,,
75,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Witch Craft (Sorcery),0,0,0,0,,,,,,,
76,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Human Sacrifice,0,0,0,0,,,,,,,
77,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Terrorism /Naxalism / Extremism,0,0,0,0,,,,,,,
78,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),For Political Reasons,0,0,0,0,,,,,,,
79,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Due to Other Causes,3,2,1,3,,,,,,,
80,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Adultery,0,0,0,0,,,,,,,
81,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Property Disputes,0,0,2,0,,,,,,,
82,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Electoral Gain,0,0,0,0,,,,,,,
83,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Gang Rivalry,0,0,0,0,,,,,,,
84,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Love Intrigue,0,0,0,0,,,,,,,
85,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Professional ,0,0,0,0,,,,,,,
86,A - IPC Crime,ATTEMPT TO CULPABLE HOMICIDE NOT AMOUNTING TO MURDER (Sec. 308 IPC),Sudden Quarrel,0,0,0,0,,,,,,,
87,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Custodial Rape,0,0,0,0,,,,,,,
88,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Attempt to Commit,3,1,1,3,,,,,,,
89,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By a Gang,0,1,0,0,,,,,,,
90,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Parents,0,0,0,0,,,,,,,
91,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Hospital Staff,0,0,0,0,,,,,,,
92,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Husband During Sepearation,1,0,1,1,,,,,,,
93,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Neighbours,1,2,2,1,,,,,,,
94,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",By Relatives,1,7,5,1,,,,,,,
95,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Jail Custody,0,0,0,0,,,,,,,
96,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",In Remand Home,0,0,0,0,,,,,,,
97,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",InCest,0,0,0,0,,,,,,,
98,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Known Person,16,22,29,16,,,,,,,
99,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Unknown Person,0,1,1,0,,,,,,,
100,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",Due to Other Causes,7,4,7,7,,,,,,,
101,A - IPC Crime,"RAPE (Sec.376, 376(A) to 376 (D) IPC)",On Minor,0,0,0,0,,,,,,,
102,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Boy,69,44,60,69,,,,,,,
103,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Missing - Girl,178,160,166,178,,,,,,,
104,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Children,1,0,1,1,,,,,,,
105,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Cildren for Begging,0,0,0,0,,,,,,,
106,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Women,0,1,2,0,,,,,,,
107,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of Girls for Immoral Purpose,0,0,0,0,,,,,,,
108,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Ransom - of  Others,3,0,6,3,,,,,,,
109,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For Prostitution,0,0,0,0,,,,,,,
110,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - Importring of Girl,0,0,0,0,,,,,,,
111,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Procuration of Minor Girls - For other Purpose,2,1,3,2,,,,,,,
112,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Espionage,0,0,0,0,,,,,,,
113,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Intent to Steal From Child,0,0,0,0,,,,,,,
114,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Murder (Homicide),0,0,0,0,,,,,,,
115,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Obtain Signature Forcibly,0,0,0,0,,,,,,,
116,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Recovering Loan,0,0,0,0,,,,,,,
117,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Settling any Disputes,0,0,0,0,,,,,,,
118,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Unnatural Lust / Illicit Intercourse,0,0,0,0,,,,,,,
119,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Wrongful Confinement,0,2,2,0,,,,,,,
120,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Exporting,0,0,0,0,,,,,,,
121,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",From Lawful Guardianship,0,1,0,0,,,,,,,
122,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Camel Racing Etc.,0,0,0,0,,,,,,,
123,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",To Compel For Marriage,2,1,1,2,,,,,,,
124,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Slavery,0,0,0,0,,,,,,,
125,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",For Stealing From its Person,0,0,0,0,,,,,,,
126,A - IPC Crime,"KIDNAPPING AND ABDUCTION (Sec.360, 361, 363 to 369 IPC)",Others,57,45,42,57,,,,,,,
127,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At ATM,0,0,0,0,,,,,,,
128,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Residential Premises,4,3,2,4,,,,,,,
129,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Highways,1,7,1,1,,,,,,,
130,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Trains,0,0,0,0,,,,,,,
131,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Banks,0,0,0,0,,,,,,,
132,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),At Commercial Places / Establishments,0,0,2,0,,,,,,,
133,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),On Other Roads,4,6,7,4,,,,,,,
134,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),In Other Places,2,3,3,2,,,,,,,
135,A - IPC Crime,DACOITY (Sec. 395 to 398 IPC ),River & Sea,0,0,0,0,,,,,,,
136,A - IPC Crime,Preparation And Assembly for Dacoity,NA,11,23,15,11,,,,,,,
137,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At ATM,0,0,0,0,,,,,,,
138,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Residential Premises,17,11,21,17,,,,,,,
139,A - IPC Crime,Robbery (Sec.392 to 394 IPC),On Highways,8,9,10,8,,,,,,,
140,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Trains,0,3,2,0,,,,,,,
141,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Banks,0,2,0,0,,,,,,,
142,A - IPC Crime,Robbery (Sec.392 to 394 IPC),At Commercial Places / Establishments,8,3,7,8,,,,,,,
143,A - IPC Crime,Robbery (Sec.392 to 394 IPC),In Other Places,59,38,74,59,,,,,,,
144,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Chain Snatching,54,41,51,54,,,,,,,
145,A - IPC Crime,Robbery (Sec.392 to 394 IPC),Attempt to Commit,6,4,5,6,,,,,,,
146,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,224,162,242,224,,,,,,,
147,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0,,,,,,,
148,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0,,,,,,,
149,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,4,6,7,4,,,,,,,
150,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,54,53,57,54,,,,,,,
151,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,52,68,56,52,,,,,,,
152,A - IPC Crime,"BURGLARY - NIGHT (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,32,29,36,32,,,,,,,
153,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Residential Premises,63,91,64,63,,,,,,,
154,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",On Highways,0,0,0,0,,,,,,,
155,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Trains,0,0,0,0,,,,,,,
156,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Banks,0,0,0,0,,,,,,,
157,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",At Commercial Places / Establishments,2,2,4,2,,,,,,,
158,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",In Other Places,5,6,6,5,,,,,,,
159,A - IPC Crime,"BURGLARY - DAY (Sec. 380 IPC R/W 453 TO 460, 462 IPC)",Temple Theft,3,2,3,3,,,,,,,
160,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of sand,65,77,124,65,,,,,,,
161,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Attempt to commit,3,3,5,3,,,,,,,
162,A - IPC Crime,THEFT (Sec.379 to 389 IPC),At ATM,0,0,1,0,,,,,,,
163,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Tractors,10,0,15,10,,,,,,,
164,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communication And Elec. Wire,26,28,22,26,,,,,,,
165,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cattle,32,51,34,32,,,,,,,
166,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cycle,13,13,12,13,,,,,,,
167,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Lorries/Trucks,14,15,11,14,,,,,,,
168,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Buses,1,1,0,1,,,,,,,
169,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Cars / Jeeps,25,26,19,25,,,,,,,
170,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobiles - Of Two Wheelers ,814,842,939,814,,,,,,,
171,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Automobies - of Three Wheelers,38,28,29,38,,,,,,,
172,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Accessories of Motor Vehicle,21,38,23,21,,,,,,,
173,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Govt. Vehicle,0,0,0,0,,,,,,,
174,A - IPC Crime,THEFT (Sec.379 to 389 IPC),"Electronic Goods (Radio, TV, VCR, Acs, Office Automation Equipments)",117,96,154,117,,,,,,,
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,0,0,1,0,,,,,,,
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0,0,0,0,,,,,,,
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,0,4,0,0,,,,,,,
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,0,0,0,0,,,,,,,
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,24,23,21,24,,,,,,,
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,40,34,64,40,,,,,,,
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,98,47,101,98,,,,,,,
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,129,163,165,129,,,,,,,
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,1,1,10,1,,,,,,,
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,16,8,17,16,,,,,,,
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,136,70,149,136,,,,,,,
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,23,15,36,23,,,,,,,
187,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Sub Total,1646,1583,1952,1646,,,,,,,
188,A - IPC Crime,THEFT (Sec.379 to 389 IPC),RIOTS (Sec.141 to 153 IPC),NA,NA,NA,NA,,,,,,,
189,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Land Dispute,82,98,102,82,,,,,,,
190,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Employee - Govt.,0,0,1,0,,,,,,,
191,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Labour - Private Sector,0,0,0,0,,,,,,,
192,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Labour - Public Sector,0,0,0,0,,,,,,,
193,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Linguistic,1,0,0,1,,,,,,,
194,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Political ,0,3,0,0,,,,,,,
195,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Regional,0,3,0,0,,,,,,,
196,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Sectarian,0,0,0,0,,,,,,,
197,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Students,1,0,1,1,,,,,,,
198,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Tribal,0,0,0,0,,,,,,,
199,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Due to Village Disputes,1,4,1,1,,,,,,,
200,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Communal,0,0,1,0,,,,,,,
201,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Industrial,1,1,0,1,,,,,,,
202,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Caste,0,0,1,0,,,,,,,
203,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Agrarian,1,0,0,1,,,,,,,
204,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Others,194,226,210,194,,,,,,,
205,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA,0,0,0,0,,,,,,,
206,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA,4,2,4,4,,,,,,,
207,A - IPC Crime,CRIMINAL BREACH OF TRUST,NA,35,47,47,35,,,,,,,
208,A - IPC Crime,CHEATING (Sec.417 to 420 IPC),NA,520,473,650,520,,,,,,,
209,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0,,,,,,,
210,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0,,,,,,,
211,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0,,,,,,,
212,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0,,,,,,,
213,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),3,1,4,3,,,,,,,
